Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0805_2012Metric,66.535534,116.585534,-90,top
C2,100n,C_0805_2012Metric,172.563534,102.251534,-90,top
C3,10u,C_0805_2012Metric,180.945534,100.285534,180,top
C4,4.7u,C_0805_2012Metric,154.529534,117.303534,-135,top
C5,100n,C_0603_1608Metric,156.521526,115.485526,-135,top
C6,4.7u,C_0805_2012Metric,161.707285,106.363783,-45,top
C7,100n,C_0603_1608Metric,165.237526,106.737526,-135,top
C8,100n,C_0603_1608Metric,164.943534,120.859534,135,top
C9,10u,C_0805_2012Metric,170.785534,107.143534,-135,top
C10,1u,C_0805_2012Metric,168.753534,108.921534,-135,top
C11,1u,C_0805_2012Metric,69.035534,116.585534,-90,top
U3,STM32F072CBTx,LQFP-48_7x7mm_P0.5mm,163.535534,113.610303,135,top
J2,USB_C_Receptacle_USB2.0,SMD,215.282466,61.254534,180,top
